,S001,S005,S008,S009,S010,S011,S013,S018,S019,S021,S023,S024,S025,S026,S027,S028,S029,S033,S034,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
Halorussus sp. XZYJ18,0,0,0,0,20,0,0,0,10,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
Halomarina sp. BCD28,0,0,0,0,0,5,15,0,0,0,5,0,0,0,0,5,0,0,0,0,10,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,5,0
Halosolutus gelatinilyticus,0,0,0,0,0,0,0,10,5,0,5,0,0,0,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,5,0,5,5,0,0,0,5,0,5
Natronobiforma sp. CGA73,0,0,0,0,0,5,0,0,0,0,5,0,0,5,5,5,0,0,0,0,0,5,0,5,5,0,5,0,0,0,5,5,0,0,0,0,5,5,0
Natrinema caseinilyticum,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,5,5,5,0
Nitrosopumilus zosterae,0,0,0,0,0,0,0,10,10,0,5,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5
Saliphagus sp. WLHS1,0,0,0,0,20,5,0,10,5,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Halorubrum sp. BOL3-1,0,10,0,0,0,5,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0
Halobaculum sp. DT55,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,5,0,0,0,0,5,0,0,5,0,0,0,10,5,0
Halomicroarcula sp. GDY20,0,5,10,0,0,5,0,0,10,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5
Halosimplex rubrum,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,5,0,10,5,0,0,0,5,0
Halorussus sp. DT80,25,0,5,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Halopiger xanaduensis,0,0,5,0,0,5,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,5,0,0,5,0,5,0,0,5,0,5,0
Natrinema sp. DC36,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,10,5
Halorubrum salinarum,0,0,0,0,0,15,0,0,0,5,5,0,5,0,5,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0
Haloglomus sp. ZY41,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,5,5,5
Halomicroarcula sp. YJ-61-S,0,5,0,0,0,10,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,5,5,5,5,0,0,0,0,0,5,0
Halorussus halophilus,0,0,10,0,0,5,0,0,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,0,0,0,5,5,0
Halorussus sp. YCN54,0,5,10,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Natribaculum sp. CGA3,0,15,0,0,0,5,0,0,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,5,0
