,S001,S009,S005,S008,S010,S011,S013,S019,S018,S021,S023,S024,S025,S026,S027,S028,S029,S034,S033,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
hprA,0,1,10,12,1,8,1,11,9,1,7,4,3,14,11,6,1,5,5,15,2,13,14,8,26,32,19,30,26,25,27,24,14,15,5,14,7,32,26
hxlA,2,2,4,3,1,1,2,2,2,3,4,3,1,2,4,5,4,4,2,6,2,2,4,0,8,4,6,4,4,6,6,4,8,4,3,5,5,2,2
hxlB,3,1,4,3,3,4,4,1,3,2,3,3,6,5,2,5,1,4,4,4,5,5,3,3,6,6,5,8,4,7,6,5,5,5,8,11,9,6,1
mauA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,1,0,1,0,0,0,1,1
mauB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,1,2
mauC,0,0,10,12,1,23,0,8,11,3,12,6,8,10,11,18,2,4,12,7,0,3,15,5,23,27,8,14,5,17,12,14,10,2,4,8,14,18,12
mauD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mauE,0,0,0,3,0,0,0,1,1,0,2,0,0,3,0,1,0,1,0,1,0,1,0,0,6,4,2,3,0,2,2,1,1,2,0,0,0,1,0
mbhJ,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,2,0,0,1,0,7,2,3,2,3,2,5,5,4,0,1,0,1,1,0
mbhK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mbhL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0
mch,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,2,4,1
mcl,0,2,14,15,0,15,0,11,14,7,5,16,6,15,11,26,10,12,11,9,4,16,10,10,28,23,15,33,21,29,32,24,14,17,25,20,20,27,9
mdh,2,5,14,7,2,12,1,5,6,5,2,10,4,6,4,11,2,7,8,6,2,8,9,11,12,19,6,14,13,15,12,14,13,9,14,15,12,12,5
mdh-K00024,5,11,24,32,5,18,5,29,16,23,26,27,13,28,18,35,14,18,24,26,6,18,30,25,33,27,37,50,27,33,33,40,29,34,29,47,31,37,14
mdo,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,2,0,1,0,0,0,0,1,0
mer,1,1,21,19,7,39,1,34,18,8,25,20,16,20,28,53,5,11,18,9,0,26,38,26,76,110,45,129,33,30,92,39,24,43,12,97,51,75,37
metF,0,5,18,12,2,9,3,18,8,10,14,15,15,16,17,33,5,8,21,13,6,14,36,16,32,18,21,46,18,30,21,27,20,28,27,16,21,28,10
mgdA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,1,1,2,0,0,0,1,0,1,1,0,1
mgdB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
